É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2016/12/28 10:23:36

,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ê_åÀ,ê_åÀ,ê_åÀ,ê_åÀ,ê_åÀ,ê_åÀ,ê_åÀ,ê_åÀ,ê_åÀ,ê_åÀ,ê_åÀ,ê_åÀ,ê_åÀ,ê_åÀ,ê_åÀ,ê_åÀ,ê_åÀ,ê_åÀ
îNåéì˙éû,â_ó (10ï™î‰),â_ó (10ï™î‰),â_ó (10ï™î‰),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),åªínãCà≥(hPa),åªínãCà≥(hPa),åªínãCà≥(hPa),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),ãCâ∑(Åé),ãCâ∑(Åé),ãCâ∑(Åé),â_ó (10ï™î‰),â_ó (10ï™î‰),â_ó (10ï™î‰),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),åªínãCà≥(hPa),åªínãCà≥(hPa),åªínãCà≥(hPa),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),ãCâ∑(Åé),ãCâ∑(Åé),ãCâ∑(Åé),â_ó (10ï™î‰),â_ó (10ï™î‰),â_ó (10ï™î‰),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),åªínãCà≥(hPa),åªínãCà≥(hPa),åªínãCà≥(hPa),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),ãCâ∑(Åé),ãCâ∑(Åé),ãCâ∑(Åé)
,,,,,,,,,,,,,ïóå¸,ïóå¸,,,,,,,,,,,,,,,,,ïóå¸,ïóå¸,,,,,,,,,,,,,,,,,ïóå¸,ïóå¸,,,,
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ
2016/11/1 1:00:00,,0,1,0.0,0,8,1,1014.4,8,1,1.4,8,ñkìå,8,1,12.8,8,1,,0,1,0.5,0,8,1,1011.3,8,1,0.5,8,ìåñkìå,8,1,13.3,8,1,,0,1,1.0,0,8,1,1017.6,8,1,1.8,8,ñkêº,8,1,13.6,8,1
2016/11/1 2:00:00,,0,1,1.5,0,8,1,1014.7,8,1,1.3,8,êº,8,1,12.6,8,1,,0,1,0.0,0,8,1,1011.1,8,1,1.3,8,ñk,8,1,13.5,8,1,,0,1,1.5,0,8,1,1017.3,8,1,1.3,8,êºñkêº,8,1,13.0,8,1
2016/11/1 3:00:00,10,8,1,1.5,0,8,1,1014.0,8,1,1.1,8,ìåñkìå,8,1,12.1,8,1,10,8,1,3.0,0,8,1,1010.5,8,1,1.4,8,ìÏìå,8,1,12.4,8,1,10,8,1,1.5,0,8,1,1016.9,8,1,0.6,8,ìÏ,8,1,12.7,8,1
2016/11/1 4:00:00,,0,1,0.5,0,8,1,1013.7,8,1,1.4,8,ñkñkìå,8,1,12.0,8,1,,0,1,1.0,0,8,1,1010.3,8,1,2.1,8,ìÏ,8,1,12.1,8,1,,0,1,0.5,0,8,1,1016.5,8,1,1.0,8,ñkñkêº,8,1,13.0,8,1
2016/11/1 5:00:00,,0,1,1.0,0,8,1,1014.0,8,1,0.8,8,êºñkêº,8,1,11.7,8,1,,0,1,0.5,0,8,1,1010.4,8,1,1.0,8,ìÏ,8,1,12.3,8,1,,0,1,0.0,0,8,1,1016.9,8,1,0.9,8,ìÏìÏêº,8,1,13.2,8,1
2016/11/1 6:00:00,,0,1,1.0,0,8,1,1014.3,8,1,0.9,8,ñkìå,8,1,11.8,8,1,10,8,1,1.0,0,8,1,1010.9,8,1,0.8,8,ìÏ,8,1,12.1,8,1,,0,1,1.0,0,8,1,1016.9,8,1,1.1,8,ìÏìÏìå,8,1,12.9,8,1
2016/11/1 7:00:00,,0,1,0.0,0,8,1,1014.5,8,1,0.9,8,êºñkêº,8,1,12.0,8,1,,0,1,0.0,0,8,1,1011.4,8,1,1.5,8,ìÏ,8,1,12.4,8,1,,0,1,0.0,0,8,1,1017.4,8,1,0.9,8,ìåñkìå,8,1,13.2,8,1
2016/11/1 8:00:00,,0,1,0,1,8,1,1014.8,8,1,1.4,8,ìÏêº,8,1,12.5,8,1,,0,1,0,1,8,1,1011.3,8,1,1.2,8,ìÏ,8,1,12.8,8,1,,0,1,0,1,8,1,1017.5,8,1,1.1,8,ìÏ,8,1,14.0,8,1
2016/11/1 9:00:00,10-,8,1,0,1,8,1,1014.7,8,1,1.5,8,ìÏ,8,1,13.5,8,1,9,8,1,0,1,8,1,1011.5,8,1,0.4,8,ñk,8,1,14.5,8,1,7,8,1,0,1,8,1,1017.6,8,1,2.4,8,êºìÏêº,8,1,15.6,8,1
2016/11/1 10:00:00,,0,1,0,1,8,1,1014.6,8,1,2.4,8,ìÏêº,8,1,15.8,8,1,,0,1,0,1,8,1,1011.4,8,1,1.5,8,êºìÏêº,8,1,15.8,8,1,,0,1,0,1,8,1,1017.3,8,1,1.4,8,ñkìå,8,1,17.1,8,1
2016/11/1 11:00:00,,0,1,0,1,8,1,1014.0,8,1,2.0,8,êºìÏêº,8,1,17.2,8,1,,0,1,0,1,8,1,1010.5,8,1,2.3,8,ìÏêº,8,1,17.5,8,1,,0,1,0,1,8,1,1016.7,8,1,2.7,8,ìåìÏìå,8,1,18.4,8,1
2016/11/1 12:00:00,,0,1,0,1,8,1,1013.2,8,1,2.8,8,ñkêº,8,1,17.1,8,1,8,8,1,0,1,8,1,1009.9,8,1,1.9,8,êºìÏêº,8,1,17.9,8,1,,0,1,0,1,8,1,1016.3,8,1,4.7,8,êºñkêº,8,1,18.4,8,1
2016/11/1 13:00:00,,0,1,0.0,0,8,1,1012.8,8,1,3.9,8,êºñkêº,8,1,17.8,8,1,,0,1,0,1,8,1,1009.3,8,1,3.8,8,ñkêº,8,1,18.8,8,1,,0,1,0,1,8,1,1015.6,8,1,5.5,8,ñkêº,8,1,18.6,8,1
2016/11/1 14:00:00,,0,1,0.0,0,8,1,1013.0,8,1,5.3,8,ñkñkêº,8,1,17.6,8,1,,0,1,0,1,8,1,1009.5,8,1,4.1,8,ñk,8,1,18.2,8,1,,0,1,0,1,8,1,1015.7,8,1,4.6,8,êºñkêº,8,1,19.1,8,1
2016/11/1 15:00:00,3,8,1,0.0,0,8,1,1013.6,8,1,3.9,8,ñkñkêº,8,1,16.3,8,1,8,8,1,0,1,8,1,1010.2,8,1,4.2,8,ñkñkêº,8,1,16.6,8,1,3,8,1,0.0,0,8,1,1016.3,8,1,8.3,8,ñkñkêº,8,1,17.0,8,1
2016/11/1 16:00:00,,0,1,0.0,0,8,1,1014.1,8,1,5.0,8,ñkñkêº,8,1,15.1,8,1,,0,1,0,1,8,1,1010.5,8,1,3.4,8,ñk,8,1,16.5,8,1,,0,1,0,1,8,1,1016.8,8,1,8.0,8,ñk,8,1,16.0,8,1
2016/11/1 17:00:00,,0,1,0.0,0,8,1,1014.9,8,1,3.5,8,ñkñkêº,8,1,14.4,8,1,,0,1,0,1,8,1,1011.1,8,1,3.3,8,ñk,8,1,15.3,8,1,,0,1,0,1,8,1,1017.1,8,1,8.3,8,ñkñkêº,8,1,14.7,8,1
2016/11/1 18:00:00,,0,1,0.0,0,8,1,1015.8,8,1,3.5,8,ñkñkêº,8,1,13.5,8,1,3,8,1,0,1,8,1,1012.2,8,1,3.5,8,ñk,8,1,14.2,8,1,,0,1,0,1,8,1,1017.9,8,1,4.4,8,ñkñkìå,8,1,14.2,8,1
2016/11/1 19:00:00,,0,1,0.0,0,8,1,1016.4,8,1,3.0,8,ñkêº,8,1,13.4,8,1,,0,1,0,1,8,1,1012.8,8,1,4.1,8,ñk,8,1,14.1,8,1,,0,1,0,1,8,1,1018.7,8,1,4.2,8,ìåñkìå,8,1,14.4,8,1
2016/11/1 20:00:00,,0,1,0.0,0,8,1,1017.4,8,1,2.3,8,ñk,8,1,13.2,8,1,,0,1,0,1,8,1,1013.3,8,1,3.9,8,ñk,8,1,13.6,8,1,,0,1,0,1,8,1,1019.2,8,1,2.5,8,ñkìå,8,1,14.2,8,1
